Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Noise_Level,Base_Model
DNN_Noise_0.01,0.9899285250162443,0.9926100971822616,0.9899285250162443,0.9908733640608,0.10156998108650457,0.01,DNN
DNN_Noise_0.05,0.9860840372536279,0.9892925923903594,0.9860840372536279,0.9871834082104021,0.10237477934409561,0.05,DNN
DNN_Noise_0.1,0.9684860298895387,0.9748097946259247,0.9684860298895387,0.9705219970560888,0.1237704326818845,0.1,DNN
DNN_Noise_0.2,0.9339939354559238,0.9520030936368634,0.9339939354559238,0.9393398319617977,0.13353240058771687,0.2,DNN
CNN_Noise_0.01,0.989008013861815,0.9915095331286259,0.989008013861815,0.9899585306916415,0.09262459810507719,0.01,CNN
CNN_Noise_0.05,0.9840805717998701,0.9884683461111233,0.9840805717998701,0.9858963409226195,0.09899052133905131,0.05,CNN
CNN_Noise_0.1,0.9644249512670565,0.9751390700968405,0.9644249512670565,0.9691132682600055,0.09168982376700127,0.1,CNN
CNN_Noise_0.2,0.9085986571366689,0.9414129818505446,0.9085986571366689,0.9213418448151061,0.0920851741333867,0.2,CNN
LSTM_Noise_0.01,0.976987221139268,0.979453970408655,0.976987221139268,0.9775989961977485,0.40630960402510397,0.01,LSTM
LSTM_Noise_0.05,0.9619341563786008,0.9687923384246154,0.9619341563786008,0.964392944955009,0.3686415470082806,0.05,LSTM
LSTM_Noise_0.1,0.9436863764349145,0.9550780947093546,0.9436863764349145,0.9484323552775593,0.38111559725541017,0.1,LSTM
LSTM_Noise_0.2,0.9116850768897552,0.9343951224111844,0.9116850768897552,0.9207361859267144,0.4406754062215513,0.2,LSTM
GRU_Noise_0.01,0.9892246047216807,0.9921471450732464,0.9892246047216807,0.9903159883149936,0.21898425035929045,0.01,GRU
GRU_Noise_0.05,0.9798570500324886,0.9829076637658457,0.9798570500324886,0.98083388786465,0.2179356888565946,0.05,GRU
GRU_Noise_0.1,0.9555988737275287,0.960913841935813,0.9555988737275287,0.9573481608570343,0.21604933159315717,0.1,GRU
GRU_Noise_0.2,0.8976608187134503,0.927029631593769,0.8976608187134503,0.9102866134125264,0.21280044597388603,0.2,GRU
