Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Noise_Level,Base_Model
Random Forest_Noise_0.01,0.8620857699805068,0.9190091270832936,0.8620857699805068,0.877953941900313,0.02842654855524484,0.01,Random Forest
Random Forest_Noise_0.05,0.6758717782109595,0.8807895585581929,0.6758717782109595,0.7373813234855264,0.029240035122546484,0.05,Random Forest
Random Forest_Noise_0.1,0.6283300844704354,0.8725809181115501,0.6283300844704354,0.7047195912327,0.026550958082741515,0.1,Random Forest
Random Forest_Noise_0.2,0.5720706086203162,0.8527931720806238,0.5720706086203162,0.6637564756864485,0.02655290746575236,0.2,Random Forest
Decision Tree_Noise_0.01,0.4773662551440329,0.8436136323550226,0.4773662551440329,0.5744393604128973,0.0005418122886242947,0.01,Decision Tree
Decision Tree_Noise_0.05,0.45348711284383797,0.8099706212976797,0.45348711284383797,0.5561941393953537,0.0008393191196506923,0.05,Decision Tree
Decision Tree_Noise_0.1,0.40881524799653457,0.7935682186578925,0.40881524799653457,0.5182123689682769,0.000297919945306842,0.1,Decision Tree
Decision Tree_Noise_0.2,0.3428091834524583,0.7838619909053287,0.3428091834524583,0.4566560884047828,0.0008036105540347663,0.2,Decision Tree
XGBoost_Noise_0.01,0.5310807883907299,0.873013380528725,0.5310807883907299,0.6179187825582326,0.011391174439514306,0.01,XGBoost
XGBoost_Noise_0.05,0.5005956248646307,0.8525829304087869,0.5005956248646307,0.600197159925529,0.012180571280337527,0.05,XGBoost
XGBoost_Noise_0.1,0.4767706302794022,0.8400104890766122,0.4767706302794022,0.5828181366971295,0.012510933606480529,0.1,XGBoost
XGBoost_Noise_0.2,0.41791206411089454,0.8280889047145946,0.41791206411089454,0.5341264347970383,0.011096120474528046,0.2,XGBoost
LightGBM_Noise_0.01,0.6314706519384882,0.8725043149750158,0.6314706519384882,0.7017696648033444,0.047536040374874834,0.01,LightGBM
LightGBM_Noise_0.05,0.21085120207927224,0.8390719727484219,0.21085120207927224,0.24579551543850314,0.04385946528695222,0.05,LightGBM
LightGBM_Noise_0.1,0.13953866146848604,0.8276200176115585,0.13953866146848604,0.14570950991342208,0.06367428519133497,0.1,LightGBM
LightGBM_Noise_0.2,0.09589560320554473,0.8256312044499459,0.09589560320554473,0.09342897821176521,0.05820132138436301,0.2,LightGBM
KNN_Noise_0.01,0.9930149447693307,0.9937625247239823,0.9930149447693307,0.9932961790351755,0.15685004229563151,0.01,KNN
KNN_Noise_0.05,0.9901992635910765,0.991477205676199,0.9901992635910765,0.9906924851795527,0.1259467316210877,0.05,KNN
KNN_Noise_0.1,0.9785033571583279,0.9820392380107105,0.9785033571583279,0.9799502897696752,0.1253964763093568,0.1,KNN
KNN_Noise_0.2,0.9549491011479315,0.963323336644622,0.9549491011479315,0.9583048352411883,0.13951362405784828,0.2,KNN
SVM_Noise_0.01,0.9855425601039636,0.9903908126694265,0.9855425601039636,0.9873812343862906,1.3422860271981816,0.01,SVM
SVM_Noise_0.05,0.9840264240849036,0.9890087023750411,0.9840264240849036,0.9859431734181661,1.1798653970271806,0.05,SVM
SVM_Noise_0.1,0.9762291531297379,0.9808896290541202,0.9762291531297379,0.9779917278831967,1.5796473048480528,0.1,SVM
SVM_Noise_0.2,0.9554364305826294,0.9620595517823648,0.9554364305826294,0.9578190143872238,1.6136995403958214,0.2,SVM
