Model,Accuracy,Precision,Recall,F1_Score,Latency_ms,Train_Accuracy,Val_Accuracy,Training_Time_s,Model_Size_MB,Fit_Status,seed,branch,AUROC_Clear,AUROC_Noisy_0.1,Train_Time_s
DNN,0.9897660818713452,0.9928393460211182,0.9897660818713452,0.9909377636907906,0.0723473225833792,0.9858437180519104,0.9887372851371764,169.6884765625,0.1686382293701172,Balanced,42,dl,,,
CNN,0.9896036387264456,0.9923505388460582,0.9896036387264456,0.9906709598637236,0.1469551548700661,0.9893248081207277,0.9882499575614928,143.49705338478088,0.5555238723754883,Balanced,42,dl,,,
LSTM,0.9874377301277886,0.991022445185265,0.9874377301277886,0.9889431632869248,0.3026778986631133,0.9863200187683104,0.9861923456192015,781.1427977085114,0.2762479782104492,Balanced,42,dl,,,
GRU,0.988249945852285,0.991195155646066,0.988249945852285,0.98932722605549,0.246371609942077,0.988099992275238,0.985867440700531,595.8153665065765,0.2300987243652343,Balanced,42,dl,,,
DNN,0.9897119341563786,0.9924095935247612,0.9897119341563786,0.9907571316461752,0.0884943977175839,0.9820725917816162,0.9865171909332277,124.04922199249268,0.1686382293701172,Balanced,123,dl,,,
CNN,0.9902534113060428,0.9922306054893248,0.9902534113060428,0.9909783307053378,0.1109948864689579,0.988547384738922,0.988412380218506,120.2396240234375,0.5555238723754883,Balanced,123,dl,,,
LSTM,0.98408057179987,0.987783560251236,0.98408057179987,0.9854242699924306,0.2553830008396267,0.9561200141906738,0.9590643048286438,415.279848575592,0.2762479782104492,Balanced,123,dl,,,
GRU,0.9885748321420836,0.9910220503098076,0.9885748321420836,0.9894462292349016,0.2480023269248468,0.9892399907112122,0.9878709316253662,588.6628768444061,0.2300987243652343,Balanced,123,dl,,,
DNN,0.989116309291748,0.992628689316742,0.989116309291748,0.99050164182862,0.0931340842012567,0.9841148257255554,0.988195776939392,120.0293447971344,0.1686382293701172,Balanced,7,dl,,,
CNN,0.9904158544509422,0.9928366016260058,0.9904158544509422,0.9913789533423916,0.0974654841531477,0.9902878999710084,0.98922461271286,186.78845477104187,0.5555238723754883,Balanced,7,dl,,,
LSTM,0.945906432748538,0.9668885344139536,0.945906432748538,0.9542759406759564,0.3005774578336567,0.9490000009536744,0.9337773323059082,218.51923489570615,0.2762479782104492,Balanced,7,dl,,,
GRU,0.986733809833225,0.9914867967092575,0.986733809833225,0.988737843069509,0.2371675270523424,0.9872999787330629,0.9851635098457336,621.4740931987762,0.2300987243652343,Balanced,7,dl,,,
Random Forest,0.9971301711067792,0.9971914822375328,0.9971301711067792,0.9971465610258684,0.0200568403236169,0.99965,0.9968594325319472,5.618950128555298,,Balanced,42,ml,,,
Decision Tree,0.99469352393329,0.9950838272342236,0.99469352393329,0.994816686468181,0.0,1.0,0.9942061944985922,0.2600042819976806,,Balanced,42,ml,,,
XGBoost,0.9898202295863114,0.9917533954015118,0.9898202295863114,0.9904576072274052,0.0075807503247276,0.97905,0.9884665367121508,3.3140809535980225,,Balanced,42,ml,,,
LightGBM,0.997455057396578,0.9975403313389392,0.997455057396578,0.9974799687816152,0.0420832675283596,0.9998,0.9968594325319472,4.280626058578491,,Balanced,42,ml,,,
KNN,0.9933398310591292,0.9941155203890516,0.9933398310591292,0.993616116960314,0.0822265633055728,1.0,0.99317738791423,0.0199987888336181,,Balanced,42,ml,,,
SVM,0.9857050032488628,0.9904040929694908,0.9857050032488628,0.987482107400569,0.9416934600608649,0.96235,0.9851635260991988,5.296374797821045,,Balanced,42,ml,,,
Random Forest,0.9974009096816114,0.9974486358294168,0.9974009096816114,0.9974094848570264,0.0178694260283055,0.99935,0.9966428416720814,5.211297988891602,,Balanced,123,ml,,,
