Model,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,F1_Score_mean,F1_Score_std,F1_Score_min,F1_Score_max,Latency_ms_mean,Latency_ms_std,Latency_ms_min,Latency_ms_max,Train_Accuracy_mean,Train_Accuracy_std,Train_Accuracy_min,Train_Accuracy_max,Val_Accuracy_mean,Val_Accuracy_std,Val_Accuracy_min,Val_Accuracy_max,Training_Time_s_mean,Training_Time_s_std,Training_Time_s_min,Training_Time_s_max,Model_Size_MB_mean,Model_Size_MB_std,Model_Size_MB_min,Model_Size_MB_max,n_seeds,branch,AUROC_Clear_mean,AUROC_Clear_std,AUROC_Clear_min,AUROC_Clear_max,AUROC_Noisy_0.1_mean,AUROC_Noisy_0.1_std,AUROC_Noisy_0.1_min,AUROC_Noisy_0.1_max,Train_Time_s_mean,Train_Time_s_std,Train_Time_s_min,Train_Time_s_max
CNN,0.9901,0.0004,0.9896,0.9904,0.9925,0.0003,0.9922,0.9928,0.9901,0.0004,0.9896,0.9904,0.991,0.0004,0.9907,0.9914,0.1185,0.0256,0.0975,0.147,0.9894,0.0009,0.9885,0.9903,0.9886,0.0005,0.9882,0.9892,150.175,33.7733,120.2396,186.7885,0.5555,0.0,0.5555,0.5555,3,dl,,,,,,,,,,,,
DNN,0.9895,0.0004,0.9891,0.9898,0.9926,0.0002,0.9924,0.9928,0.9895,0.0004,0.9891,0.9898,0.9907,0.0002,0.9905,0.9909,0.0847,0.0109,0.0723,0.0931,0.984,0.0019,0.9821,0.9858,0.9878,0.0012,0.9865,0.9887,137.9223,27.5836,120.0293,169.6885,0.1686,0.0,0.1686,0.1686,3,dl,,,,,,,,,,,,
GRU,0.9879,0.001,0.9867,0.9886,0.9912,0.0002,0.991,0.9915,0.9879,0.001,0.9867,0.9886,0.9892,0.0004,0.9887,0.9894,0.2438,0.0058,0.2372,0.248,0.9882,0.001,0.9873,0.9892,0.9863,0.0014,0.9852,0.9879,601.9841,17.2535,588.6629,621.4741,0.2301,0.0,0.2301,0.2301,3,dl,,,,,,,,,,,,
LSTM,0.9725,0.0231,0.9459,0.9874,0.9819,0.0131,0.9669,0.991,0.9725,0.0231,0.9459,0.9874,0.9762,0.0191,0.9543,0.9889,0.2862,0.0267,0.2554,0.3027,0.9638,0.0198,0.949,0.9863,0.9597,0.0262,0.9338,0.9862,471.6473,285.5158,218.5192,781.1428,0.2762,0.0,0.2762,0.2762,3,dl,,,,,,,,,,,,
Decision Tree,0.9951,0.0004,0.9947,0.9954,0.9954,0.0003,0.9951,0.9956,0.9951,0.0004,0.9947,0.9954,0.9952,0.0004,0.9948,0.9955,0.0002,0.0003,0.0,0.0005,0.9996,0.0008,0.9987,1.0,0.9946,0.0004,0.9942,0.995,0.2567,0.0153,0.24,0.27,,,,,3,ml,,,,,,,,,,,,
KNN,0.9938,0.0005,0.9933,0.9943,0.9944,0.0004,0.9941,0.9949,0.9938,0.0005,0.9933,0.9943,0.994,0.0004,0.9936,0.9945,0.0852,0.007,0.0802,0.0931,1.0,0.0,1.0,1.0,0.9935,0.0003,0.9932,0.9938,0.01,0.01,0.0,0.02,,,,,3,ml,,,,,,,,,,,,
LightGBM,0.9972,0.0003,0.9969,0.9975,0.9973,0.0003,0.997,0.9975,0.9972,0.0003,0.9969,0.9975,0.9972,0.0003,0.9969,0.9975,0.0386,0.0031,0.0363,0.0421,0.9984,0.0024,0.9956,0.9998,0.9965,0.0004,0.996,0.9969,3.9933,0.2496,3.8294,4.2806,,,,,3,ml,,,,,,,,,,,,
Random Forest,0.9971,0.0003,0.9968,0.9974,0.9972,0.0003,0.9969,0.9974,0.9971,0.0003,0.9968,0.9974,0.9971,0.0003,0.9968,0.9974,0.0157,0.0057,0.0092,0.0201,0.9996,0.0002,0.9994,0.9998,0.9966,0.0002,0.9964,0.9969,4.4667,1.6552,2.57,5.619,,,,,3,ml,,,,,,,,,,,,
SVM,0.9867,0.0009,0.9857,0.9876,0.9909,0.0009,0.9903,0.9919,0.9867,0.0009,0.9857,0.9876,0.9883,0.0009,0.9875,0.9893,0.9097,0.0305,0.881,0.9417,0.963,0.0011,0.9624,0.9643,0.9859,0.0006,0.9852,0.9862,5.1362,0.1388,5.0519,5.2964,,,,,3,ml,,,,,,,,,,,,
XGBoost,0.9951,0.0045,0.9898,0.9977,0.9957,0.0034,0.9918,0.9978,0.9951,0.0045,0.9898,0.9977,0.9953,0.0042,0.9905,0.9977,0.0074,0.0024,0.0049,0.0097,0.9925,0.0117,0.979,0.9996,0.9941,0.0049,0.9885,0.9971,3.3741,1.2551,2.15,4.6581,,,,,3,ml,,,,,,,,,,,,
Autoencoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,anomaly,0.9791,0.0013,0.9778,0.9803,0.9743,0.0035,0.9708,0.9777,5.0841,0.0828,4.9951,5.159
Isolation Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,anomaly,0.9544,0.0,0.9544,0.9544,0.7765,0.0056,0.7713,0.7824,0.5929,0.0112,0.58,0.6
