model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,min_per_class_f1,max_per_class_f1,n_classes_below_0.5
RandomForest,0.9971,0.9531,0.9913,0.9706,0.9971,0.8889,1,0
LightGBM,0.9975,0.9353,0.9875,0.957,0.9975,0.8,1,0
XGBoost,0.9898,0.8422,0.9733,0.8835,0.9905,0.5,1,0
DecisionTree,0.9947,0.8846,0.9759,0.9182,0.9948,0.6667,1,0
KNN,0.9933,0.8558,0.9761,0.8907,0.9936,0.4615,1,1
SVM,0.9857,0.777,0.9617,0.8086,0.9875,0.1404,1,2
DNN,0.9907,0.8044,0.9744,0.8451,0.9914,0.3429,1,2
CNN,0.9901,0.8022,0.9735,0.8394,0.991,0.2581,1,2
LSTM,0.9896,0.7872,0.8685,0.8143,0.9899,0,1,2
GRU,0.9879,0.7929,0.9682,0.8319,0.989,0.2,1,1
